metric;value
total_answers;116.0
correct_answers;25.0
unanswered;32.0
passed_tests;1.0
total_tests;8.0
wrong_q_1;3.0
wrong_q_2;1.0
wrong_q_5;2.0
wrong_q_6;2.0
wrong_q_7;3.0
wrong_q_8;1.0
wrong_q_9;3.0
wrong_q_3;2.0
wrong_q_4;2.0
correct_answers_sum;7.0
wrong_q_34;1.0
wrong_q_31;1.0
wrong_q_28;1.0
wrong_q_30;1.0
wrong_q_29;1.0
wrong_q_23;1.0
wrong_q_26;1.0
wrong_q_25;1.0
wrong_q_22;1.0
wrong_q_21;1.0
wrong_q_32;1.0
wrong_q_36;1.0
wrong_q_27;1.0
wrong_q_40;1.0
wrong_q_39;1.0
wrong_q_37;1.0
wrong_q_35;1.0
wrong_q_24;1.0
wrong_q_52;1
wrong_q_47;1
wrong_q_58;1
wrong_q_59;1
wrong_q_48;1
wrong_q_57;1
wrong_q_50;1
wrong_q_55;1
wrong_q_45;1
wrong_q_53;1
wrong_q_54;1
wrong_q_41;1
wrong_q_51;1
wrong_q_42;1
wrong_q_44;1
wrong_q_56;1
