Вопрос 1: Сколько бит в одном байте?                           ; 7                   ; _8                      ; 10                     ; 16
Вопрос 2: Какой язык программирования основной для Android?    ; Swift               ; _Kotlin                 ; C++                    ; PHP
Вопрос 3: Выберите столицу Франции?                            ; _Париж              ; Лондон                  ; Берлин                 ; Рим               ; Мадрид
Вопрос 4: Как расшифровывается CPU?                            ; Central Process Unit; _Central Processing Unit; Control Processing Unit
Вопрос 5: Результат 2 + 2 * 2?                                 ; 4                   ; _6                      ; 8
Вопрос 6: Какой химический символ у золота?                    ; Ag                  ; _Au                     ; Fe                     ; Cu
Вопрос 7: Кто написал 'Преступление и наказание'?              ; Толстой             ; Чехов                   ; _Достоевский           ; Пушкин
Вопрос 8: Какая планета третья от Солнца?                      ; Венера              ; Марс                    ; _Земля                 ; Меркурий
Вопрос 9: Какой газ необходим для дыхания?                     ; _Кислород           ; Азот                    ; Углекислый газ         ; Гелий
Вопрос 10: Сколько континентов на Земле?                       ; 5                   ; 6                       ; _7                     ; 8
Вопрос 11: Самая высокая гора в мире?                          ; Килиманджаро        ; _Эверест                ; Эльбрус                ; Монблан
Вопрос 12: В каком году человек впервые полетел в космос?      ; 1957                ; _1961                   ; 1969                   ; 1975
Вопрос 13: Самый большой океан?                                ; Атлантический       ; _Тихий                  ; Индийский              ; Северный Ледовитый
Вопрос 14: Какое расширение у файлов Python?                   ; .js                 ; .cpp                    ; _.py                   ; .html
Вопрос 15: Из чего состоит вода?                               ; _Водород и Кислород ; Углерод и Кислород      ; Азот и Водород
Вопрос 16: Кто открыл закон всемирного тяготения?              ; Эйнштейн            ; _Ньютон                 ; Галилей                ; Тесла
Вопрос 17: Какой цвет получится при смешении синего и красного?; Оранжевый           ; Зеленый                 ; _Фиолетовый            ; Коричневый
Вопрос 18: Самое быстрое сухопутное животное?                  ; Лев                 ; Тигр                    ; _Гепард                ; Антилопа
Вопрос 19: Сколько сторон у гексагона?                         ; 5                   ; _6                      ; 7                      ; 8
Вопрос 20: В какой стране находится Колизей?                   ; Греция              ; _Италия                 ; Франция                ; Испания
Вопрос 21: Какая валюта в Японии?                              ; Юань                ; _Иена                   ; Вон                    ; Доллар
Вопрос 22: Самый большой орган человека?                       ; Печень              ; Легкие                  ; _Кожа                  ; Мозг
Вопрос 23: Кто нарисовал 'Мона Лизу'?                          ; Микеланджело        ; _Леонардо да Винчи      ; Рафаэль                ; Пикассо
Вопрос 24: Какая птица не умеет летать?                        ; Орел                ; _Страус                 ; Воробей                ; Чайка
Вопрос 25: Сколько зубов у взрослого человека?                 ; 28                  ; 30                      ; _32                    ; 34
Вопрос 26: В каком море вода самая соленая?                    ; Средиземное         ; _Мертвое                ; Красное                ; Черное
Вопрос 27: Какая пустыня самая большая в мире?                 ; Гоби                ; _Сахара                 ; Калахари               ; Виктория
Вопрос 28: Столица Японии?                                     ; Киото               ; Осака                   ; _Токио                 ; Нагоя
Вопрос 29: Как называется процесс превращения воды в пар?      ; Замерзание          ; Конденсация             ; _Испарение             ; Плавление
Вопрос 30: Первая буква греческого алфавита?                   ; Бета                ; Гамма                   ; _Альфа                 ; Омега
Вопрос 31: Что изучает ботаника?                               ; Животных            ; _Растения               ; Минералы               ; Звезды
Вопрос 32: Какой металл при комнатной температуре жидкий?      ; _Ртуть              ; Свинец                  ; Олово                  ; Медь
Вопрос 33: Самая маленькая планета Солнечной системы?          ; Марс                ; _Меркурий               ; Плутон                 ; Венера
Вопрос 34: Кто изобрел телефон?                                ; Эдисон              ; _Белл                   ; Маркони                ; Попов
Вопрос 35: Какое число идет после триллиона?                   ; Миллиард            ; _Квадриллион            ; Биллион
Вопрос 36: Из какого дерева делают спички?                     ; Дуб                 ; Сосна                   ; _Осина                 ; Береза
Вопрос 37: Как называется столица Австралии?                   ; Сидней              ; Мельбурн                ; _Канберра              ; Перт
Вопрос 38: Самый твердый минерал на Земле?                     ; Гранит              ; Кварц                   ; _Алмаз                 ; Изумруд
Вопрос 39: Сколько градусов в прямом угле?                     ; 45                  ; 60                      ; _90                    ; 180
Вопрос 40: Кто был первым президентом США?                     ; Линкольн            ; _Вашингтон              ; Джефферсон             ; Кеннеди
Вопрос 41: В каком году началась Вторая мировая война?         ; 1914                ; 1918                    ; _1939                  ; 1941
Вопрос 42: Какой город называют городом на Неве?               ; Москва              ; _Санкт-Петербург        ; Новосибирск            ; Екатеринбург
Вопрос 43: Сколько цветов в радуге?                            ; 6                   ; _7                      ; 8                      ; 9
Вопрос 44: Как называется единица силы тока?                   ; Вольт               ; Ватт                    ; _Ампер                 ; Ом
Вопрос 45: Что является центром Солнечной системы?             ; Земля               ; _Солнце                 ; Юпитер                 ; Черная дыра
Вопрос 46: Какое животное является символом России?            ; Тигр                ; _Медведь                ; Волк                   ; Орел
Вопрос 47: Какой фрукт называют 'королем цитрусовых'?          ; Лимон               ; _Апельсин               ; Грейпфрут              ; Лайм
Вопрос 48: В каком океане находится остров Мадагаскар?         ; Тихий               ; Атлантический           ; _Индийский             ; Северный Ледовитый
Вопрос 49: Как называется главный закон страны?                ; Устав               ; Кодекс                  ; _Конституция           ; Приказ
Вопрос 50: Самый большой материк?                              ; Африка              ; Северная Америка        ; _Евразия               ; Антарктида
